score	name	city	state
6.1	 Whole Foods Market	 New York	 NY
6.2	 Rosella's Pizzeria	 New York	 NY
7.4	 Union Park Pizza	 Boston	 MA
8.8	 Pino's Pizza	 Brighton	 MA
7.4	 Figs by Todd English	 Boston	 MA
7.8	 Artichoke Basille's Pizza	 New York	 NY
5.9	 Healthy Choice Gourmet Deli ...	 New York	 NY
6.4	 Rocky's Pizza Bar and Restau...	 New York	 NY
7.3	 Manco & Manco Pizza	 Ocean City	 NJ
4.9	 Tony's Baltimore Grill	 Atlantic City	 NJ
7.7	 Mike's Apizza & Restaurant	 West Haven	 CT
8.6	 Roseland Apizza	 Derby	 CT
7.9	 Ernie's Pizzeria	 New Haven	 CT
7.1	 Minervini's Pizzeria & Resta...	 East Haven	 CT
8.5	 John & Maria's Pizzeria	 East Haven	 CT
7.7	 Sal's Pizzeria	 Mamaroneck	 NY
7.9	 Pizzeria La Rosa	 New Rochelle	 NY
6.9	 Famous Calabria	 New York	 NY
7.4	 Bonnie & Clyde's Pizza Parlo...	 Louisville	 KY
6.8	 Spinelli's Pizzeria	 Louisville	 KY
7.2	 Butchertown Pizza Hall	 Louisville	 KY
7.3	 Strawberry's Pub & Pizza	 Woodbridge	 NJ
7.1	 Brooklyn Boys Pizza and Deli	 Edison	 NJ
6.6	 Sciortinos's Pizza Pasta & M...	 Perth Amboy	 NJ
3.8	 Talladega Superspeedway	 Talladega	 AL
3.9	 Mata's Greek Pizza & Grinder...	 Anniston	 AL
5.9	 First Class Pizza To Go	 Lincoln	 AL
7.6	 Porrino's Pizzeria	 Little Ferry	 NJ
7.4	 Pizza Wagon	 Brooklyn	 NY
7.3	 Gigino Trattoria	 New York	 NY
8.2	 The Longshoreman	 New York	 NY
2.8	 Cheska's	 New York	 NY
4.6	 Little Caesars Pizza	 Princeton	 WV
6.7	 Beebe's	 Long Island City	 NY
8.1	 sLICe LIC	 Long Island City	 NY
3.2	 Stromboli Pizza	 New York	 NY
6.9	 Biga Bite	 New York	 NY
6.2	 Hello Pizza	 Edina	 MN
6.8	 Artistic Pizza	 New York	 NY
6.6	 Broders Cucina Italiana	 Minneapolis	 MN
7.5	 Red Wagon Pizza Co	 Minneapolis	 MN
8.3	 Surly Brewing	 Minneapolis	 MN
6.9	 Pizzeria Lola	 Minneapolis	 MN
8.2	 Zuppardi's Apizza	 West Haven	 CT
4.8	 W4 Pizza	 New York	 NY
6.1	 Big Al's Chicago Style Pizza	 New York	 NY
7.6	 Village Square Pizza	 New York	 NY
7.4	 Side Piece Pizza	 Las Vegas	 NV
7.7	 Cugino's Italian Deli & Pizz...	 Las Vegas	 NV
5.4	 Upper Crust Pizzeria	 Beverly Hills	 CA
5.9	 Stella Barra Pizzeria & Wine...	 Santa Monica	 CA
7.5	 Mulberry Street Pizzeria	 Beverly Hills	 CA
4.2	 Meadowlands Racing and Enter...	 East Rutherford	 NJ
8.0	 Fort Lee Pizzeria	 Fort Lee	 NJ
6.8	 Saverio's Authentic Pizza Na...	 Massapequa	 NY
6.6	 Mario's Pizzeria Massapequa	 Massapequa	 NY
8.4	 Pizza Sam	 Jackson Heights	 NY
6.7	 Rosa's Pizza	 Middle Village	 NY
7.4	 La Nonna Krispy Krust Pizza	 Brooklyn	 NY
7.3	 Paulie Gee's	 Brooklyn	 NY
7.4	 Paulie Gee's Slice Shop	 Brooklyn	 NY
7.9	 Tony's Pizza	 Brooklyn	 NY
7.8	 Carmine's Pizzeria	 Brooklyn	 NY
8.1	 Totonno's	 Brooklyn	 NY
6.2	 Krispy Pizza	 Jersey City	 NJ
7.2	 Good Pie	 Las Vegas	 NV
8.1	 King Umberto's of Elmont	 Elmont	 NY
7.7	 Vezzo	 New York	 NY
6.8	 Starbucks Reserve Roastery N...	 New York	 NY
8.1	 Deninos Pizzeria & Tavern	 Staten Island	 NY
7.9	 Brother's Pizzeria	 Staten Island	 NY
7.5	 Pizza Town USA	 Elmwood Park	 NJ
1.7	 Canal Pizza	 New York	 NY
2.2	 Pizza Al Fresco	 Palm Beach	 FL
7.7	 Harry's Italian	 New York	 NY
6.0	 Chuck E. Cheese	 West Melbourne	 FL
6.6	 Napoli Pizza	 Daytona Beach	 FL
6.9	 Pizza Girls WPB	 West Palm Beach	 FL
7.1	 Eddie & Sam's NY Pizza	 Tampa	 FL
6.7	 La Vera Pizzeria	 New York	 NY
7.8	 Salvo's Pizzabar	 New York	 NY
9.1	 Johnny's Pizzeria	 Mount Vernon	 NY
6.8	 Slice Downtown	 Atlanta	 GA
7.2	 Buckhead Pizza	 Atlanta	 GA
7.1	 Cosmo's Original Little Ital...	 Lawrenceville	 GA
5.9	 Piu Bello Buckhead	 Atlanta	 GA
7.4	 Marcello's Pizza & Subs	 Atlanta	 GA
6.1	 Mellow Mushroom	 Alpharetta	 GA
7.2	 Fellini's Pizza	 Atlanta	 GA
8.3	 Antico Pizza	 Atlanta	 GA
7.6	 Enzo Bruni La Pizza Gourmet	 New York	 NY
7.4	 Dani's House of Pizza	 Kew Gardens	 NY
7.4	 Woodpecker Pizza Bar & Grill...	 New York	 NY
1.9	 Costco	 Clifton	 NJ
8.3	 Santillo's Brick Oven Pizza	 Elizabeth	 NJ
4.8	 Friendly Gourmet Pizza	 New York	 NY
7.4	 Upside Pizza	 New York	 NY
7.5	 Santucci's Original Square P...	 Philadelphia	 PA
6.5	 Lorenzo & Sons Pizza	 Philadelphia	 PA
7.4	 Il Piccolo Bufalo	 New York	 NY
7.9	 Made In New York Pizza	 New York	 NY
6.6	 Mama Rosa Pizza and Pasta	 Rutherford	 NJ
6.4	 Bill's Pizzeria Kitchen + Gr...	 Hopkinton	 MA
5.8	 Luna Ristorante	 New York	 NY
6.2	 Da Gennaro	 New York	 NY
6.9	 Steve's Pizza	 Miami	 FL
8.1	 Lucali	 Miami Beach	 FL
8.9	 Mister O1- South Beach	 Miami Beach	 FL
8.2	 Riko's Pizza	 Stamford	 CT
8.4	 Colony Grill	 Stamford	 CT
7.1	 California Pizza Kitchen at ...	 New York	 NY
7.6	 Johnny Pepperoni	 Hoboken	 NJ
7.6	 Macchina	 New York	 NY
7.4	 Brooklyn's Homeslice Pizzeri...	 Brooklyn	 NY
7.5	 Da Nonna Rosa	 Brooklyn	 NY
7.1	 Marta	 New York	 NY
7.2	 Mario's Classic Pizza	 Hoboken	 NJ
4.8	 La Rossa	 New York	 NY
7.4	 BAR	 New Haven	 CT
9.2	 Sally's Apizza	 New Haven	 CT
8.5	 Frank Pepe Pizzeria Napoleta...	 New Haven	 CT
8.8	 Modern Apizza	 New Haven	 CT
6.8	 Tony Boloney's - Hoboken	 Hoboken	 NJ
7.3	 Serafina Broadway	 New York	 NY
6.2	 Loring Place	 New York	 NY
7.4	 GoreMade Pizza	 Columbus	 OH
7.4	 Margherita NYC	 New York	 NY
6.7	 Eataly Boston	 Boston	 MA
6.8	 Palermo's 95th	 Oak Lawn	 IL
7.1	 Armand's Pizzeria	 Elmwood Park	 IL
7.1	 Geo's Pizza	 Chicago	 IL
8.1	 Basile's Pizza	 Hoboken	 NJ
6.8	 Bruno Pizza	 New York	 NY
7.2	 Dona Bella Pizza	 New York	 NY
7.4	 Stage Door Pizzeria	 New York	 NY
8.1	 Nicoletta Pizzeria	 New York	 NY
3.1	 Z Deli Pizzeria	 New York	 NY
5.8	 Da Nico Ristorante	 New York	 NY
7.3	 Pasquale Jones	 New York	 NY
0.2	 Churchill Downs	 Louisville	 KY
6.9	 10th Avenue Pizza & Cafe	 New York	 NY
1.9	 Jekyll & Hyde	 New York	 NY
8.3	 Joe's Pizza	 New York	 NY
7.6	 Motorino	 New York	 NY
5.1	 Biggie's Pizza - Jacksonvill...	 Jacksonville Beach	 FL
0.1	 Amtrak	 New York	 NY
5.2	 Felcaro Pizzeria	 Boston	 MA
8.2	 Florina Pizzeria & Paninotec...	 Boston	 MA
8.1	 Lombardi's Pizza	 New York	 NY
9.3	 Lucali	 Brooklyn	 NY
8.1	 Famous Ben's Pizza	 New York	 NY
6.7	 Sal's Pizzeria	 Brooklyn	 NY
7.2	 Neapolitan Express	 New York	 NY
6.8	 Pizza House	 Ann Arbor	 MI
1.2	 Backroom Pizza	 Ann Arbor	 MI
7.2	 Vesta Wood Fired	 East Rutherford	 NJ
4.8	 Frankie Boy's Pizza	 New York	 NY
6.5	 Pazzo's Pizza Pub	 Lexington	 KY
6.1	 PieTana	 Lexington	 KY
7.8	 Pies & Pints - Lexington	 Lexington	 KY
4.2	 Bravo Pizza	 New York	 NY
5.8	 800 Degrees Woodfired Kitche...	 New York	 NY
6.8	 1000 Degrees Neapolitan Pizz...	 Boston	 MA
7.3	 Pie Pie Pizza	 New York	 NY
4.1	 Big Slice of New York Pizza	 New York	 NY
9.1	 Sauce Pizzeria	 New York	 NY
4.1	 A Slice of New York	 New York	 NY
6.3	 Little Italy Pizza	 New York	 NY
6.9	 Mama's Pizzeria	 New York	 NY
6.7	 Buchetta Brick Oven Pizza	 New York	 NY
6.2	 Broadway Pizza & Restaurant	 New York	 NY
1.8	 Cafe Viva	 New York	 NY
7.8	 The New Park Tavern	 East Rutherford	 NJ
7.1	 Bread & Tulips	 New York	 NY
7.2	 Pizza Pete's	 New York	 NY
7.7	 Sfila Pizza	 New York	 NY
8.5	 Brooklyn Pizza Masters	 New York	 NY
7.5	 Kinchley's Tavern	 Ramsey	 NJ
4.2	 Pomodoro Ristorante & Pizzer...	 New York	 NY
7.4	 Alla Pala	 New York	 NY
8.1	 Jiannetto's Pizza Truck	 STATEN ISLAND	 NY
1.1	 Georgio's Gourmet Pizza	 Chicago	 IL
3.2	 Rico's Pizza	 Gary	 IN
7.1	 Emporio	 New York	 NY
8.3	 Gato	 New York	 NY
7.4	 Roey's	 New York	 NY
7.4	 Mama Mia's Restaurant	 Saratoga Springs	 NY
8.1	 Caputo's Pizzeria	 Saratoga Springs	 NY
6.1	 Marino's Pizza	 Saratoga Springs	 NY
7.3	 Gennaro's Pizza Parlor	 Saratoga Springs	 NY
6.1	 Deli On Madison	 New York	 NY
2.1	 Leonelli Bakery	 New York	 NY
8.1	 Freddie & Pepper's	 New York	 NY
7.7	 3 Giovani	 New York	 NY
6.9	 Joe G Pizza & Restaurant	 New York	 NY
6.4	 Bella Napoli	 New York	 NY
6.9	 Village Pizza	 New York	 NY
6.6	 Not Ray's Pizza	 Brooklyn	 NY
7.4	 Pequod's Pizzeria	 Chicago	 IL
8.2	 Lou Malnati's Pizzeria	 Chicago	 IL
6.2	 Gino's East - Magnificent Mi...	 Chicago	 IL
8.4	 Giordano's	 Chicago	 IL
5.1	 Naples 45 Ristorante E Pizze...	 New York	 NY
6.8	 La Trattoria	 New York	 NY
6.7	 Primavera Pizza & Pasta	 New York	 NY
6.9	 Rocco's Pizzeria	 Vineyard Haven	 MA
3.8	 Slice Of Edgartown	 Edgartown	 MA
6.1	 Isola	 Edgartown	 MA
6.6	 Chilmark General Store	 Chilmark	 MA
6.8	 Giordano's Restaurant	 Oak Bluffs	 MA
7.4	 Fusaro's	 Nantucket	 MA
6.2	 Baldie's Pizza & Subs	 Lakeville	 MA
5.9	 Muse Pizza	 Nantucket	 MA
6.2	 Moto Pizza	 Sandwich	 MA
7.3	 Joey's Pizzeria	 Dennis Port	 MA
7.2	 Sophie T's Pizza	 Nantucket	 MA
6.5	 Oath Pizza - East 67th Stree...	 New York	 NY
6.1	 PQR	 New York	 NY
7.1	 Vinnie's Pizzeria	 New York	 NY
7.3	 Marinara Pizza - Midtown Eas...	 New York	 NY
7.4	 The Woodstock	 New York	 NY
6.8	 SIMÒ PIZZA	 New York	 NY
7.8	 Bocce USQ	 New York	 NY
6.2	 Black Square Pizza	 New York	 NY
7.2	 Café Crust	 Southampton	 NY
6.3	 Francesca's	 Hampton Bays	 NY
7.4	 Prova Pizzabar	 New York	 NY
7.7	 Pepe Giallo	 New York	 NY
6.4	 Don Antonio	 New York	 NY
6.2	 Ceci Italian Cuisine	 New York	 NY
7.2	 Corner Slice	 New York	 NY
6.9	 Mani In Pasta	 New York	 NY
7.1	 Il Corallo Trattoria	 New York	 NY
7.2	 Zero Otto Nove	 New York	 NY
0.0	 BD PIZZA	 New York	 NY
8.0	 La Margarita	 New York	 NY
2.4	 Stanton Street Pizza	 New York	 NY
6.8	 Melani Pizzeria	 New York	 NY
7.8	 Frank's Trattoria	 New York	 NY
6.8	 Little Vincent's Pizza	 Huntington	 NY
7.5	 Louie's Pizza	 Woburn	 MA
6.7	 Rinas Pizzeria & Cafe	 Boston	 MA
6.6	 Galleria Umberto	 Boston	 MA
7.7	 Ducali Pizzeria & Bar	 Boston	 MA
7.1	 Lions & Tigers & Squares Det...	 New York	 NY
5.7	 Famous Amadeus Pizza	 New York	 NY
7.2	 Follia NYC	 New York	 NY
7.9	 L'industrie Pizzeria	 Brooklyn	 NY
7.1	 Zia Maria - Chelsea	 New York	 NY
8.4	 Joe & Pat's Pizzeria	 New York	 NY
7.8	 Emmett's	 New York	 NY
6.8	 The Original Goodfella's Bri...	 Staten Island	 NY
7.9	 Lee's Tavern	 Staten Island	 NY
4.2	 Pomodoro Pizza	 New York	 NY
6.8	 Benny Tudino's Pizzeria	 Hoboken	 NJ
7.4	 Napoli's Pizza	 Hoboken	 NJ
6.4	 Hawthorne's NY Pizza & Bar	 Charlotte	 NC
5.4	 42nd Street Restaurant and P...	 New York	 NY
9.1	 Best Pizza	 Brooklyn	 NY
6.6	 Pizza Rollio	 New York	 NY
8.9	 Ralph's Pizzeria	 Nutley	 NJ
6.8	 Posto	 New York	 NY
6.8	 Bricco Ristorante Italiano	 New York	 NY
7.9	 Julian's Italian Pizzeria & ...	 San Antonio	 TX
4.8	 Big Lou's Pizza	 San Antonio	 TX
5.5	 Pizzarita's	 San Antonio	 TX
7.9	 Martina Pizzeria	 New York	 NY
5.0	 Patzeria Perfect Pizza	 New York	 NY
7.2	 L'Amico NYC	 New York	 NY
3.2	 Bonanno's New York Pizzeria	 Las Vegas	 NV
3.2	 Bonanno's New York Pizzeria	 Las Vegas	 NV
7.9	 Il Mattone West Village	 New York	 NY
7.1	 La Pizza Fresca Ristorante	 New York	 NY
6.8	 Massoni	 New York	 NY
8.3	 Bravo Pizza	 New York	 NY
6.9	 Ovest Pizzoteca by Luzzo's	 New York	 NY
6.2	 Full Moon Pizzeria	 Bronx	 NY
7.7	 Pugsley's Pizza	 Bronx	 NY
8.6	 Williamsburg Pizza	 Brooklyn	 NY
4.9	 99 Cent Fresh Pizza	 New York	 NY
5.9	 Evel Pie	 Las Vegas	 NV
6.9	 Nino's 46	 New York	 NY
3.2	 La Gusto Pizza	 New York	 NY
6.1	 Cheesy Pizza	 New York	 NY
7.2	 Sal & Carmine's Pizza	 New York	 NY
6.8	 MAMA'S TOO!	 New York	 NY
6.5	 Bond 45	 New York	 NY
6.5	 Casa D'amici	 Morgantown	 WV
6.4	 Pizza Al's	 Morgantown	 WV
6.6	 Colasante's Ristorante & Pub	 Morgantown	 WV
7.5	 Love & Dough	 DUMBO	 NY
8.6	 Patsy's Pizzeria	 New York	 NY
7.8	 Louie & Ernie's Pizza	 Bronx	 NY
7.2	 Pizza Barn	 Yonkers	 NY
7.5	 Mama's Pizza	 Saint Paul	 MN
6.3	 Dulono's Sports Bar	 Minneapolis	 MN
3.4	 Cheetah Pizza	 Edina	 MN
4.1	 Fat Lorenzo's	 Minneapolis	 MN
7.1	 Red's Savoy Pizza	 Minneapolis	 MN
6.3	 Frank From Philly & Andrea P...	 Minneapolis	 MN
7.6	 Young Joni	 Minneapolis	 MN
6.8	 Cossetta Alimentari	 Saint Paul	 MN
5.3	 Pizza Luce	 Minneapolis	 MN
6.8	 Football Pizza	 Minneapolis	 MN
7.1	 Star Tavern	 Orange	 NJ
5.4	 LA Traviata Pizzeria	 New York	 NY
6.1	 Percy's Pizza	 New York	 NY
7.6	 Pizza Land	 North Arlington	 NJ
4.2	 Little Italy Pizza	 New York	 NY
7.1	 Re Sette	 New York	 NY
6.2	 B & W Deli & Pizzeria	 New York	 NY
5.8	 Mediterraneo Restaurant	 New York	 NY
7.1	 La Bellezza Pizza	 New York	 NY
6.7	 Tre Sorelle	 New York	 NY
1.2	 Rubby's Pizzeria	 New York	 NY
3.4	 Justino's Pizzeria	 New York	 NY
6.8	 Casabianca Pizzeria	 New York	 NY
6.3	 Sottosuolo NYC	 New York	 NY
6.9	 Mariella Pizza	 New York	 NY
7.2	 Bella Blu	 New York	 NY
6.7	 John & Tony's	 New York	 NY
5.5	 Angelo's  Pizza	 Princeton	 WV
6.3	 Il Forno Pizza	 New York	 NY
7.7	 Scarr's Pizza	 New York	 NY
8.5	 Double Zero	 New York	 NY
1.2	 Buca di Beppo Italian Restau...	 New York	 NY
6.1	 Solo Pizza	 New York	 NY
7.2	 Stone Bridge Pizza & Salad	 New York	 NY
1.8	 Famous Pizza	 New York	 NY
7.1	 Sorbillo Pizzeria	 New York	 NY
7.1	 New York Sal's Pizza	 New York	 NY
7.4	 Gnocco	 New York	 NY
3.4	 5 Boroughs Pizza	 New York	 NY
2.2	 Steve's Pizza	 New York	 NY
7.1	 Majestic Pizza and Calzones	 New York	 NY
7.8	 Serafina Meatpacking	 New York	 NY
8.5	 Joe's Pizza	 New York	 NY
6.3	 B Side Pizza & Wine Bar	 New York	 NY
8.1	 Bronx Pizza	 San Diego	 CA
6.7	 Filippis Pizza Grotto Pacifi...	 San Diego	 CA
8.2	 Vito's Pizza	 Santa Monica	 CA
8.3	 Joe's Pizza	 Santa Monica	 CA
8.1	 Francesco's Pizzeria	 New York	 NY
2.1	 Cafe 28	 New York	 NY
3.6	 Daniela Trattoria	 New York	 NY
7.7	 Italian Village Pizzeria	 New York	 NY
6.2	 Barilla Restaurants	 New York	 NY
6.7	 La Mia Pizza	 New York	 NY
7.0	 Brier Hill Pizza & Wings	 Youngstown	 OH
7.1	 Avalon Downtown Pizzeria	 Youngstown	 OH
6.4	 Bruno Bros Pizza	 Austintown	 OH
6.8	 Belleria Pizzeria	 Youngstown	 OH
7.2	 Wedgewood Fernando's Pizza -...	 Youngstown	 OH
7.8	 Adoro Lei	 New York	 NY
5.6	 Covina	 New York	 NY
8.6	 Umberto's Pizzeria & Restaur...	 New Hyde Park	 NY
3.1	 Cottage Inn Pizza	 Ann Arbor	 MI
5.4	 New York Pizza Depot	 Ann Arbor	 MI
7.6	 Buddy's Pizza - Dearborn	 Dearborn	 MI
6.3	 &pizza - NoMad	 New York	 NY
6.3	 &pizza - Astor Place	 New York	 NY
7.2	 Company	 New York	 NY
7.1	 Benny Marzano's	 Blacksburg	 VA
5.1	 Bazbeaux Pizza	 Indianapolis	 IN
8.1	 Goodfellas Pizzeria	 Indianapolis	 IN
4.1	 Napolese Pizzeria	 Indianapolis	 IN
7.5	 Empire Slice House	 Oklahoma City	 OK
7.1	 Wig & Pen Pizza Pub	 Iowa City	 IA
5.2	 Casey's	 Coralville	 IA
6.6	 Nick's Pizza	 New York	 NY
6.9	 Girello	 New York	 NY
2.4	 Fenway Park	 Boston	 MA
5.8	 The Original Impellizeri's P...	 Louisville	 KY
6.4	 Bearno's By the Bridge	 Louisville	 KY
0.2	 The Post	 Louisville	 KY
5.2	 Vapiano	 New York	 NY
7.9	 Rock Pizza Scissors	 New York	 NY
6.9	 Sicilia Fine Italian Special...	 Columbus	 OH
5.4	 Adriatico's New York Style P...	 Columbus	 OH
6.4	 The O Patio & Pub	 Columbus	 OH
7.8	 Leone's Pizza	 Columbus	 OH
9.1	 Regina Pizza	 Boston	 MA
0.0	 Industry Kitchen	 New York	 NY
6.4	 Va Bene	 New York	 NY
7.7	 Ciao Vineria con Cucina	 New York	 NY
8.1	 Sal's Little Italy	 New York	 NY
1.4	 Encore Beach Club	 Las Vegas	 NV
7.3	 Pizza Rock	 Las Vegas	 NV
5.6	 Naked City Pizza Shop	 Las Vegas	 NV
6.2	 Moneyline Pizza & Bar	 Las Vegas	 NV
8.5	 Lil Frankie's	 New York	 NY
9.3	 Oath Pizza - Nantucket	 Nantucket	 MA
8.3	 Speedy Romeo	 New York	 NY
6.3	 Tavola	 New York	 NY
8.1	 Sacco Pizza	 New York	 NY
7.8	 New Park Pizza	 Howard Beach	 NY
6.5	 Pies on Wheels	 Saratoga Springs	 NY
8.6	 Nove Italian Restaurant	 Gansevoort	 NY
7.7	 Song E Napule	 New York	 NY
6.2	 La Vera Pizzeria & Restauran...	 New York	 NY
7.9	 Manhattan Brick Oven Pizza	 New York	 NY
5.4	 Ben's Pizzeria	 New York	 NY
7.2	 Emily - West Village	 New York	 NY
8.2	 Numero 28 Pizzeria - West Vi...	 New York	 NY
8.1	 310 Bowery Bar	 New York	 NY
8.1	 Rubirosa	 New York	 NY
6.2	 Alphonso's Pizzeria & Tratto...	 New York	 NY
8.6	 Rizzo's Fine Pizza	 New York	 NY
4.1	 WILD	 New York	 NY
7.8	 Norma	 New York	 NY
6.2	 Rossetti's Pizza	 New York	 NY
4.2	 Big Nick's Burger & Pizza Jo...	 New York	 NY
7.2	 Cafe Fiorello	 New York	 NY
5.7	 Angelo Bellini	 New York	 NY
8.2	 Merilu Pizza Al Metro	 New York	 NY
8.3	 Black Sheep Pizza - Minneapo...	 Minneapolis	 MN
0.2	 F & M Slice Pizza	 New York	 NY
4.8	 Yankee Pizza	 New York City	 NY
6.2	 Farinella Bakery Pizza	 New York	 NY
7.1	 Capizzi	 New York	 NY
8.6	 Patsy's Pizzeria	 New York	 NY
4.8	 Pasta Lovers	 New York	 NY
6.1	 Radio City Pizza	 New York	 NY
8.2	 Saluggi's	 New York	 NY
8.4	 Picciotto NYC	 New York	 NY
7.9	 Borrelli's	 East Meadow	 NY
8.4	 Saba's Pizza Upper East	 New York	 NY
4.1	 Carve	 New York	 NY
6.4	 Kesté Pizza & Vino	 New York	 NY
6.4	 Claudio Pizzeria	 New York	 NY
6.8	 Nizza	 New York	 NY
5.2	 Olio e Piú	 New York City	 NY
6.4	 Regina Pizzeria	 Mashantucket	 CT
7.4	 Pecorino	 New York	 NY
7.0	 Fiore's Pizza	 New York	 NY
2.7	 Intrepid Summer Movie Series	 New York	 NY
6.6	 Muzzarella Pizza	 New York	 NY
7.9	 Arturo's	 New York	 NY
4.2	 Picasso Pizza	 New York	 NY
7.3	 Baker's Pizza	 New York	 NY
6.3	 Sutton Pizzeria	 New York	 NY
9.2	 Halftime Pizza	 Boston	 MA
8.4	 John's of Times Square	 New York	 NY
4.0	 Pizza Park	 New York	 NY
8.1	 Cafe Daniello's	 New York	 NY
7.1	 Kiss My Slice	 New York	 NY
7.9	 Sofia Pizza Shoppe	 New York	 NY
2.1	 IPizzaNY	 New York	 NY
7.1	 Uncle Mario's Brick Oven Piz...	 New York	 NY
5.9	 Pranzo Pizza & Pasta	 New York	 NY
3.3	 The Grotto Pizzeria & Ristor...	 New York	 NY
8.1	 Neapolitan Express	 New York	 NY
7.7	 Phil's Pizza	 New York	 NY
5.0	 Snacks	 Las Vegas	 NV
6.4	 Georgio Pizzeria	 New York	 NY
2.5	 Da Vinci Pizza	 New York	 NY
0.9	 Pizza Gaga	 New York	 NY
4.8	 Adrienne's Pizzabar	 New York	 NY
0.1	 Open Market	 New York	 NY
8.2	 Santarpio's Pizza	 Boston	 MA
7.1	 Cucina Bene	 New York	 NY
5.9	 Underground Pizza	 New York	 NY
7.4	 Justino's Pizzeria	 New York	 NY
1.7	 Highline Pizzeria	 New York	 NY
8.1	 Luigi's Gourmet Grill	 New York	 NY
3.7	 Mariella Pizza	 New York	 NY
0.0	 Pizza Hut	 Augusta	 GA
6.6	 Pizza Joint	 Augusta	 GA
8.1	 Rose's Pizza	 New York	 NY
4.2	 Coppola's East	 New York	 NY
7.9	 Patrizia's Pizza and Pasta	 New York	 NY
7.8	 XS Nightclub	 Las Vegas	 NV
3.4	 Secret Pizza	 Las Vegas	 NV
6.2	 Slice	 New York	 NY
4.9	 Previti Pizza	 New York	 NY
6.8	 Aperitivo Pizza Bar	 New York	 NY
4.6	 Don Giovanni Ristorante	 New York	 NY
8.1	 Champion Pizza	 New York	 NY
8.1	 Pisa Pizza	 New York	 NY
8.2	 Brunetti Pizza	 New York	 NY
8.0	 Grimaldi's Pizzeria	 Brooklyn	 NY
2.1	 Pizza Mercato	 New York	 NY
6.9	 Juliana's	 Brooklyn	 NY
1.2	 Fox's Pizza Den	 Charleston	 WV
8.7	 Ignazio's	 Brooklyn	 NY
7.4	 L & B Spumoni Gardens	 Brooklyn	 NY
9.4	 Di Fara Pizza	 Brooklyn	 NY
6.4	 Belmora Pizza & Restaurant	 New York	 NY
6.6	 Pizza By Certé	 New York	 NY
4.3	 My Pie Pizzeria Romana	 New York	 NY
7.8	 Pizza Da Solo	 New York	 NY
7.3	 Teresa's Brick Oven Pizza & ...	 New York	 NY
7.5	 Royal Pizza	 New York	 NY
7.3	 Harry's Italian Pizza Bar	 New York	 NY
6.3	 Kiss My Slice	 New York	 NY
7.2	 Sparky's Pizzeria and Grill	 Jackson	 TN
5.2	 D Napoli Pizza	 New York	 NY
6.6	 Cassiano's	 New York	 NY
5.1	 Uncle Paul's Pizza	 New York	 NY
6.9	 Gotham Pizza	 New York	 NY
8.4	 Luigi's Pizza	 New York	 NY
6.2	 Giuseppe's Pizza	 New York	 NY
4.8	 Pazza Notte	 New York	 NY
9.3	 Angelo's Coal Oven Pizzeria	 New York	 NY
5.8	 Bella Vita Pizzeria	 New York	 NY
8.1	 PizzArte	 New York	 NY
6.4	 Pizzeria Trentatre	 New York	 NY
5.9	 Little Gio's Pizza	 New York	 NY
5.1	 Rosario's Pizza	 New York	 NY
7.2	 Proto's Pizza	 New York	 NY
4.2	 Pizza Italia	 New York	 NY
7.8	 Joe's Pizza	 New York	 NY
0.0	 Café Muse	 New York	 NY
7.7	 Mike's Pizza	 New York	 NY
8.6	 Prince Street Pizza	 New York	 NY
6.9	 Nick's Pizza Bar	 New York	 NY
7.8	 La Bellezza	 New York	 NY
9.0	 Denino's Greenwich Village	 New York	 NY
2.8	 Rocky's Number II	 New York	 NY
6.8	 Garlic New York Pizza Bar	 New York	 NY
4.2	 Pronto Pizza	 New York	 NY
7.9	 Artichoke Basille's Pizza	 New York	 NY
4.9	 Gaslight Pizzeria	 New York	 NY
6.2	 Stella's Pizza	 New York	 NY
7.4	 Filaga Pizzeria Siciliana	 New York	 NY
5.8	 Abitino's Pizzeria	 New York	 NY
6.2	 Lombardi's Pizza	 New York	 NY
6.2	 Famous Original Ray's Pizza	 New York	 NY
7.4	 Cavallo's Pizzeria	 New York	 NY
6.8	 Obicà Mozzarella Bar Pizza e...	 New York	 NY
8.1	 Lunetta Pizza & Restaurant	 New York	 NY
7.4	 Florian	 New York	 NY
4.8	 99 Cent Best & Fresh Pizza	 New York	 NY
7.1	 Dirty Water Dough	 Boston	 MA
3.2	 Ribalta Pizza	 New York	 NY
7.6	 Pie By The Pound	 New York	 NY
0.0	 Blaze Pizza	 Los Angeles	 CA
7.4	 Ciro's Pizzeria & Beerhouse	 San Diego	 CA
9.3	 John's of Bleecker Street	 New York	 NY
8.2	 Brick Oven Pizza 33	 New York	 NY
3.9	 Libretto's Pizzeria	 New York	 NY
5.4	 Manhattan Pizzeria	 Manhattan Beach	 CA
8.4	 Vinny Vincenz	 New York	 NY
6.2	 Iggy's Pizzeria	 New York	 NY
8.0	 East Village Pizza	 New York	 NY
6.9	 Bleecker Street Pizza	 New York	 NY
6.6	 Two Boots West Village	 New York	 NY
7.8	 Rivoli Pizza	 New York	 NY
1.4	 Rocky's Pizza 14th St	 New York	 NY
7.9	 Grimaldi's	 New York	 NY
6.8	 J's Pizza	 New York	 NY
1.2	 Pick & Pay Gyro & Pizza	 New York	 NY
4.8	 Dough Boys	 New York	 NY
7.9	 Pastafina Pizza	 New York	 NY
