score	name	city	state
7.1	 Big Louie's	 Pompano Beach	 FL
6.8	 East Side Pizza	 Miami	 FL
7.4	 Bonci	 Chicago	 IL
6.8	 Aurelio's Pizza	 Homewood	 IL
7.1	 Pizzanista!	 Los Angeles	 CA
7.8	 Zazzy's Pizza	 New York	 NY
7.8	 Pat's Pizza	 Chicago	 IL
7.6	 Arthur Avenue Wood Fired Piz...	 Pleasantville	 NY
7.3	 Venice Pizza & Trattoria	 White Plains	 NY
7.4	 Villaggio Italiano Restauran...	 Hartsdale	 NY
7.5	 Avellino Pizza & Pasta	 Hartsdale	 NY
7.4	 Raceway Pizzeria & Hero's	 Yonkers	 NY
8.1	 Vito & Nick's Pizzeria	 Chicago	 IL
7.6	 Bar Cargo	 Chicago	 IL
7.4	 Coalfire Pizza	 Chicago	 IL
7.8	 Barnaby's of Northbrook	 Northbrook	 IL
7.1	 Salerno's Pizza of Chicago	 Chicago	 IL
7.1	 Chicago Pizza And Oven Grind...	 Chicago	 IL
7.6	 The Art of Pizza	 Chicago	 IL
7.7	 Craft Pizza	 Chicago	 IL
7.1	 Piece Brewery and Pizzeria	 Chicago	 IL
7.1	 Harry's Pizzeria - Design Di...	 Miami	 FL
6.8	 Pizza Rustica Office	 Miami Beach	 FL
7.9	 Pizzette	 Miami Beach	 FL
7.5	 Amarone	 Aventura	 FL
7.2	 Outta Hand Pizza	 Westfield	 NJ
7.2	 Capri Pizza	 Kenilworth	 NJ
7.4	 Three Guys From Italy	 Kenilworth	 NJ
7.9	 Brooklyn Pizza	 Millburn	 NJ
7.4	 Arturo's	 Maplewood	 NJ
7.6	 Reservoir Restaurant	 South Orange	 NJ
6.8	 Frank's Pizzeria	 Newark	 NJ
6.6	 Miami's Best Pizza	 Coral Gables	 FL
7.3	 Terre Del Sapore	 Coral Gables	 FL
6.7	 Leo's Pizza	 Miami	 FL
7.4	 Apizza Brooklyn	 Miami	 FL
6.7	 Pucci's Pizza	 Miami	 FL
6.7	 New York Pizza & Restaurant	 Miami	 FL
6.8	 Ottava Via	 Detroit	 MI
7.2	 Pie Sci	 Detroit	 MI
7.3	 Crispelli's Bakery & Pizzeri...	 Berkley	 MI
8.7	 Fredi The PizzaMan	 Melvindale	 MI
6.9	 Alibi	 Troy	 MI
8.1	 Detroit Style Pizza Company	 Saint Clair Shores	 MI
6.2	 Green Lantern Pizza	 Madison Heights	 MI
7.7	 Joe's Pizza	 Ann Arbor	 MI
7.3	 NeoPapalis	 Ann Arbor	 MI
7.5	 Cloverleaf Bar & Restaurant	 Eastpointe	 MI
6.9	 Bell's Greek Pizza	 East Lansing	 MI
6.8	 Georgio's Pizza	 East Lansing	 MI
7.5	 Detroit Frankie's Wood Fired...	 Lansing	 MI
7.3	 Deluca's Restaurant	 Lansing	 MI
7.8	 Tomatoes Apizza	 Farmington Hills	 MI
7.1	 Mootz Pizzeria + Bar	 Detroit	 MI
7.3	 Niki's Pizza	 Detroit	 MI
7.5	 Supino Pizzeria	 Detroit	 MI
6.8	 Piazza Di Pizza	 Moonachie	 NJ
7.1	 Café Villa	 Chatham	 NJ
8.9	 Calabria Restaurant & Pizzer...	 Livingston	 NJ
6.9	 Buon Pane Italiano Bakery	 Miami Beach	 FL
6.8	 Fratelli La Bufala	 Miami Beach	 FL
4.2	 Pizza De Miami	 Miami Beach	 FL
7.8	 Giotto	 Miami Beach	 FL
6.8	 Nino's Restaurant & Pizzeria	 Lodi	 NJ
7.8	 Lodi Pizza Restaurant	 Lodi	 NJ
7.3	 Santoni's Ristorante & Pizze...	 Garfield	 NJ
7.4	 Barcelona's Restaurant & Bar	 Garfield	 NJ
7.4	 Ferazzoli's Italian Kitchen	 Rutherford	 NJ
7.5	 Sac's Place	 Astoria	 NY
7.8	 Marabella Pizzeria Restauran...	 Sunnyside	 NY
7.9	 Roma Pizzeria	 North Bergen	 NJ
7.6	 Josie's Pizzeria Catering & ...	 Lyndhurst	 NJ
6.8	 Ninos Aq	 Astoria	 NY
8.4	 Trattoria L'incontro	 Astoria	 NY
6.9	 Aumm Aumm Pizzeria & Wine Ba...	 North Bergen	 NJ
8.5	 Perfect Pizza	 North Bergen	 NJ
6.8	 Tony Novante's Pizzeria & Wi...	 Union City	 NJ
6.7	 Trattoria Napoli	 Union City	 NJ
7.4	 Death by Pizza	 New York	 NY
6.8	 Pasta by Hudson	 New York	 NY
8.1	 Renato's Pizza Masters	 Jersey City	 NJ
7.4	 Palermo's Cafe & Bakery	 Little Ferry	 NJ
8.1	 Lido Restaurant	 Hackensack	 NJ
7.9	 Brooklyn's Brick Oven Pizzer...	 Hackensack	 NJ
7.7	 Curioni's	 Lodi	 NJ
8.1	 Urban Tomato	 Palisades Park	 NJ
7.8	 Napoli Wood Fired Pizza & Ba...	 Cliffside Park	 NJ
7.5	 Trattoria La Sorrentina	 North Bergen	 NJ
8.1	 Cesare's Ristorante	 Bristol	 PA
7.3	 Tony & Joe's Pizzeria	 Conshohocken	 PA
6.9	 Campus Corner Pizza	 Villanova	 PA
7.4	 Randazzo's Pizzeria	 Philadelphia	 PA
6.8	 Philly Style Pizza and Grill...	 Philadelphia	 PA
6.6	 Amici Vicinato	 Lafayette Hill	 PA
7.3	 Café Carmela	 Philadelphia	 PA
7.6	 Charlie's Pizzeria	 Philadelphia	 PA
7.4	 Franzone's Pizzeria & Restau...	 Philadelphia	 PA
7.1	 Maxi's Pizza, Subs and Bar	 Philadelphia	 PA
8.1	 Pizzata Pizzeria	 Philadelphia	 PA
7.7	 Goodfellas Pizzeria	 Lexington	 KY
7.3	 Tony's Famous Tomato Pie	 Philadelphia	 PA
7.4	 Montesini Pizza	 Philadelphia	 PA
7.8	 Gaetano's Pizzeria	 Clifton Heights	 PA
6.9	 Imperial Pizza	 Secane	 PA
7.3	 Sam’s Boardwalk Style Pizza ...	 Havertown	 PA
7.8	 Pica's Restaurant of Upper D...	 Upper Darby	 PA
4.2	 Anthony's Pizza VI	 Charles Town	 WV
5.8	 Brothers Pizzeria And Italia...	 Charles Town	 WV
8.2	 Circles + Squares	 Philadelphia	 PA
6.7	 In Riva	 Philadelphia	 PA
6.6	 Allegro Pizza	 Philadelphia	 PA
8.1	 Pizza Jawn	 Philadelphia	 PA
7.6	 Joe's Pizza	 West Hollywood	 CA
8.9	 Conte's Pizza and Bar	 Princeton	 NJ
6.1	 Explorer's Den Steaks and Ho...	 Philadelphia	 PA
6.1	 LaScala's Pronto	 Philadelphia	 PA
8.1	 Wood Street Pizza	 Philadelphia	 PA
7.4	 Pietro's Coal Oven Pizzeria	 Philadelphia	 PA
6.8	 Zio's Brick Oven Pizzeria	 Philadelphia	 PA
7.8	 Botanica Bar	 New York	 NY
6.8	 Enjay's Pizza	 Philadelphia	 PA
7.4	 Giovani's Bar & Grill	 Philadelphia	 PA
6.2	 Axis Pizza	 Philadelphia	 PA
7.1	 Mineo's Pizza House	 Pittsburgh	 PA
6.1	 Aiello's Pizza	 Pittsburgh	 PA
6.4	 Benny Fierro's	 Pittsburgh	 PA
6.7	 Gennaro's Pizza	 Pittsburgh	 PA
7.1	 Pizzeria Stella	 Philadelphia	 PA
7.9	 Angelino's Restaurant	 Philadelphia	 PA
7.8	 Fiori's Pizzaria	 Pittsburgh	 PA
7.2	 Beto's Pizza	 Pittsburgh	 PA
7.5	 Juliano's Restaurant & Pizze...	 Robinson Twp.	 PA
5.4	 Soho 99 Cents	 New York	 NY
7.1	 Bar Dough	 New York	 NY
7.4	 Moustache	 New York	 NY
7.6	 Primavera Pizza	 Montauk	 NY
